trajectory_id,split
traj_0000,train
traj_0001,train
traj_0002,train
traj_0003,test
traj_0004,train
traj_0005,val
traj_0006,train
traj_0007,train
traj_0008,train
traj_0009,train
traj_0010,test
traj_0011,test
traj_0012,train
traj_0013,train
traj_0014,train
traj_0015,train
traj_0016,train
traj_0017,test
traj_0018,train
traj_0019,train
traj_0020,train
traj_0021,test
traj_0022,train
traj_0023,train
traj_0024,test
traj_0025,train
traj_0026,test
traj_0027,train
traj_0028,train
traj_0029,train
traj_0030,test
traj_0031,train
traj_0032,train
traj_0033,train
traj_0034,val
traj_0035,test
traj_0036,train
traj_0037,train
traj_0038,train
traj_0039,train
traj_0040,train
traj_0041,train
traj_0042,val
traj_0043,train
traj_0044,train
traj_0045,test
traj_0046,train
traj_0047,train
traj_0048,test
traj_0049,train
traj_0050,test
traj_0051,train
traj_0052,val
traj_0053,train
traj_0054,train
traj_0055,val
traj_0056,train
traj_0057,train
traj_0058,train
traj_0059,train
traj_0060,train
traj_0061,train
traj_0062,train
traj_0063,train
traj_0064,val
traj_0065,train
traj_0066,train
traj_0067,train
traj_0068,train
traj_0069,train
traj_0070,test
traj_0071,train
traj_0072,train
traj_0073,train
traj_0074,test
traj_0075,train
traj_0076,test
traj_0077,test
traj_0078,train
traj_0079,train
traj_0080,train
traj_0081,val
traj_0082,train
traj_0083,val
traj_0084,train
traj_0085,val
traj_0086,train
traj_0087,test
traj_0088,train
traj_0089,train
traj_0090,test
traj_0091,val
traj_0092,train
traj_0093,val
traj_0094,val
traj_0095,train
traj_0096,train
traj_0097,train
traj_0098,train
traj_0099,train
traj_0100,train
traj_0101,train
traj_0102,train
traj_0103,train
traj_0104,train
traj_0105,train
traj_0106,test
traj_0107,train
traj_0108,train
traj_0109,train
traj_0110,train
traj_0111,train
traj_0112,train
traj_0113,train
traj_0114,train
traj_0115,train
traj_0116,train
traj_0117,train
traj_0118,train
traj_0119,test
traj_0120,train
traj_0121,train
traj_0122,val
traj_0123,train
traj_0124,train
traj_0125,train
traj_0126,train
traj_0127,train
traj_0128,train
traj_0129,train
traj_0130,test
traj_0131,val
traj_0132,train
traj_0133,train
traj_0134,train
traj_0135,train
traj_0136,test
traj_0137,val
traj_0138,train
traj_0139,train
traj_0140,val
traj_0141,test
traj_0142,train
traj_0143,val
traj_0144,train
traj_0145,train
traj_0146,train
traj_0147,test
traj_0148,train
traj_0149,train
traj_0150,train
traj_0151,train
traj_0152,train
traj_0153,val
traj_0154,train
traj_0155,train
traj_0156,train
traj_0157,train
traj_0158,val
traj_0159,train
traj_0160,train
traj_0161,val
traj_0162,train
traj_0163,train
traj_0164,test
traj_0165,train
traj_0166,test
traj_0167,train
traj_0168,train
traj_0169,val
traj_0170,train
traj_0171,test
traj_0172,train
traj_0173,val
traj_0174,train
traj_0175,train
traj_0176,train
traj_0177,train
traj_0178,train
traj_0179,train
traj_0180,val
traj_0181,train
traj_0182,train
traj_0183,train
traj_0184,train
traj_0185,train
traj_0186,val
traj_0187,train
traj_0188,test
traj_0189,train
traj_0190,val
traj_0191,train
traj_0192,train
traj_0193,train
traj_0194,train
traj_0195,val
traj_0196,train
traj_0197,test
traj_0198,test
traj_0199,test
traj_0200,train
traj_0201,train
traj_0202,val
traj_0203,train
traj_0204,val
traj_0205,train
traj_0206,train
traj_0207,train
traj_0208,val
traj_0209,train
traj_0210,train
traj_0211,train
traj_0212,test
traj_0213,train
traj_0214,train
traj_0215,train
traj_0216,val
traj_0217,train
traj_0218,train
traj_0219,val
traj_0220,train
traj_0221,test
traj_0222,val
traj_0223,test
traj_0224,train
traj_0225,val
traj_0226,train
traj_0227,train
traj_0228,val
traj_0229,train
traj_0230,test
traj_0231,val
traj_0232,train
traj_0233,val
traj_0234,train
traj_0235,train
traj_0236,train
traj_0237,test
traj_0238,train
traj_0239,train
traj_0240,train
traj_0241,val
traj_0242,train
traj_0243,train
traj_0244,test
traj_0245,train
traj_0246,train
traj_0247,train
traj_0248,train
traj_0249,train
traj_0250,train
traj_0251,val
traj_0252,train
traj_0253,train
traj_0254,val
traj_0255,train
traj_0256,train
traj_0257,test
traj_0258,train
traj_0259,train
traj_0260,train
traj_0261,val
traj_0262,train
traj_0263,train
traj_0264,train
traj_0265,train
traj_0266,train
traj_0267,train
traj_0268,train
traj_0269,train
traj_0270,train
traj_0271,train
traj_0272,train
traj_0273,test
traj_0274,train
traj_0275,train
traj_0276,val
traj_0277,train
traj_0278,train
traj_0279,train
traj_0280,train
traj_0281,val
traj_0282,val
traj_0283,train
traj_0284,train
traj_0285,val
traj_0286,train
traj_0287,test
traj_0288,train
traj_0289,train
traj_0290,test
traj_0291,test
traj_0292,val
traj_0293,val
traj_0294,train
traj_0295,train
traj_0296,test
traj_0297,train
traj_0298,train
traj_0299,train
traj_0300,val
traj_0301,train
traj_0302,test
traj_0303,val
traj_0304,train
traj_0305,train
traj_0306,train
traj_0307,train
traj_0308,val
traj_0309,train
traj_0310,train
traj_0311,train
traj_0312,train
traj_0313,train
traj_0314,train
traj_0315,train
traj_0316,train
traj_0317,train
traj_0318,test
traj_0319,test
traj_0320,train
traj_0321,train
traj_0322,train
traj_0323,train
traj_0324,test
traj_0325,train
traj_0326,train
traj_0327,train
traj_0328,train
traj_0329,train
traj_0330,train
traj_0331,train
traj_0332,train
traj_0333,train
traj_0334,train
traj_0335,train
traj_0336,train
traj_0337,val
traj_0338,test
traj_0339,train
traj_0340,val
traj_0341,train
traj_0342,train
traj_0343,train
traj_0344,train
