trajectory_id,regime,cross_sign,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg,max_gamma_pre_cross_deg
traj_00006,gradual_approach_v3,1.0,completed_normally,4.869999999999999,4.85,0.54,gradual_monotonic_low_gamma,29.688606387884228,18.033452226888222,25.94536328242884
traj_00007,gradual_approach_v3,1.0,completed_normally,0.8900000000000006,0.8699999999999992,0.3899999999999988,gradual_monotonic_low_gamma,19.38435068384249,31.58205460419856,35.65933934057283
traj_00043,gradual_approach_v3,1.0,completed_normally,4.85,4.84,0.41000000000000014,gradual_monotonic_low_gamma,23.382355457773954,24.722250027276658,31.03089824217321
traj_00045,gradual_approach_v3,1.0,completed_normally,1.29,1.2700000000000005,0.6500000000000004,gradual_monotonic_low_gamma,16.648966688294728,22.155442988693704,22.155442988693704
traj_00058,gradual_approach_v3,1.0,completed_normally,,,0.8000000000000007,gradual_monotonic_low_gamma,26.077176715240714,10.388941462685546,16.81710126963486
traj_00065,gradual_approach_v3,1.0,completed_normally,,,0.6699999999999999,gradual_monotonic_low_gamma,18.324659205361375,10.986920364700413,14.15333473396754
traj_00066,gradual_approach_v3,1.0,completed_normally,1.8100000000000005,1.7799999999999994,0.9199999999999999,gradual_monotonic_low_gamma,16.46133407218238,22.327962026219076,22.327962026219076
traj_00078,gradual_approach_v3,1.0,completed_normally,4.75,4.73,0.7199999999999998,gradual_monotonic_low_gamma,18.46046856569292,14.29076121003358,15.770628080515511
traj_00079,gradual_approach_v3,1.0,completed_normally,,,0.8500000000000005,gradual_monotonic_low_gamma,22.676158735715156,10.428913866552291,10.428913866552291
traj_00083,gradual_approach_v3,1.0,completed_normally,4.73,4.699999999999999,0.5699999999999985,gradual_monotonic_low_gamma,18.284156121755775,18.795456905444716,22.391304008761747
traj_00084,gradual_approach_v3,1.0,completed_normally,4.64,4.62,0.8100000000000005,gradual_monotonic_low_gamma,19.363179313655035,16.52363998512521,19.159129715057958
traj_00086,gradual_approach_v3,1.0,completed_normally,,,0.9600000000000004,gradual_monotonic_low_gamma,31.731742932891034,5.093451043854006,5.093451043854006
traj_00087,gradual_approach_v3,1.0,completed_normally,,,0.6699999999999999,gradual_monotonic_low_gamma,21.534846671268916,5.801858415778954,5.801858415778954
traj_00095,gradual_approach_v3,1.0,completed_normally,4.320000000000001,4.3,0.5899999999999999,gradual_monotonic_low_gamma,25.720611108234362,20.47616931509278,23.452971464511084
traj_00110,gradual_approach_v3,1.0,completed_normally,,,0.6400000000000006,gradual_monotonic_low_gamma,28.67172068669897,13.32417696379416,17.85021457491006
traj_00118,gradual_approach_v3,1.0,completed_normally,,,0.9600000000000009,gradual_monotonic_low_gamma,24.900735568138764,5.90948109909555,5.90948109909555
traj_00126,gradual_approach_v3,1.0,completed_normally,,,0.6500000000000004,gradual_monotonic_low_gamma,26.3562557611851,6.909039445494867,6.909039445494867
traj_00128,gradual_approach_v3,1.0,completed_normally,4.88,4.86,0.5700000000000003,gradual_monotonic_low_gamma,19.27466244579959,18.511361038741896,25.230649074449648
traj_00142,gradual_approach_v3,1.0,completed_normally,,,0.8399999999999999,gradual_monotonic_low_gamma,25.53380200023173,10.494588412630884,12.579381144045655
traj_00149,gradual_approach_v3,1.0,completed_normally,,,0.8700000000000001,gradual_monotonic_low_gamma,27.792638776004868,3.872757506569084,3.872757506569084
traj_00152,gradual_approach_v3,1.0,completed_normally,4.77,4.75,0.7400000000000002,gradual_monotonic_low_gamma,23.485918935785005,14.184131137943135,19.104778304925578
traj_00163,gradual_approach_v3,1.0,completed_normally,,,0.7600000000000007,gradual_monotonic_low_gamma,27.744323955474208,10.182696236169452,12.669489500849084
traj_00202,gradual_approach_v3,1.0,completed_normally,5.67,5.630000000000001,1.0200000000000005,gradual_monotonic_low_gamma,16.587143335719695,11.02093978202284,13.293976501703884
traj_00211,gradual_approach_v3,1.0,completed_normally,2.249999999999999,2.1900000000000004,1.410000000000001,gradual_monotonic_low_gamma,25.11487880590235,17.40365915673138,17.40365915673138
traj_00223,gradual_approach_v3,1.0,completed_normally,4.89,4.87,0.4900000000000002,gradual_monotonic_low_gamma,27.226461938621355,20.495470334617586,29.688515891316943
traj_00229,gradual_approach_v3,1.0,completed_normally,5.220000000000001,5.210000000000001,0.5,gradual_monotonic_low_gamma,25.21890210952625,14.02284581419427,20.305041530923734
traj_00232,gradual_approach_v3,1.0,completed_normally,4.7700000000000005,4.75,0.7000000000000002,gradual_monotonic_low_gamma,21.132630705407685,15.71375973973992,18.620103851962234
traj_00245,gradual_approach_v3,1.0,completed_normally,,,0.9799999999999995,gradual_monotonic_low_gamma,24.66123557003685,6.150821670243441,6.150821670243441
traj_00264,gradual_approach_v3,1.0,completed_normally,,,0.7699999999999996,gradual_monotonic_low_gamma,26.494053333149274,6.251442097325944,6.251442097325944
traj_00294,gradual_approach_v3,1.0,completed_normally,,,0.6800000000000002,gradual_monotonic_low_gamma,28.915470763204492,6.469032167558469,6.469032167558469
traj_00296,gradual_approach_v3,1.0,completed_normally,,,0.7099999999999991,gradual_monotonic_low_gamma,25.947555574238642,9.548601965870166,10.591246705394898
traj_00306,gradual_approach_v3,1.0,completed_normally,1.5199999999999996,1.4900000000000002,0.7400000000000002,gradual_monotonic_low_gamma,17.625061518860477,25.498183010680236,25.498183010680236
traj_00313,gradual_approach_v3,1.0,completed_normally,4.760000000000001,4.74,0.7000000000000002,gradual_monotonic_low_gamma,20.43053642326829,15.15622633104822,17.046768034899323
traj_00314,gradual_approach_v3,1.0,completed_normally,1.6600000000000001,1.6300000000000008,0.8800000000000008,gradual_monotonic_low_gamma,17.876330036116297,31.29500962044139,31.29500962044139
traj_00326,gradual_approach_v3,1.0,completed_normally,,,1.33,gradual_monotonic_low_gamma,21.92449013536777,12.2848396940984,12.2848396940984
traj_00327,gradual_approach_v3,1.0,completed_normally,,,0.81,gradual_monotonic_low_gamma,29.875318572869592,7.359044299044013,7.359044299044013
traj_00332,gradual_approach_v3,1.0,completed_normally,,,0.8099999999999987,gradual_monotonic_low_gamma,23.21213442211717,11.369678012509159,11.369678012509159
traj_00354,gradual_approach_v3,1.0,completed_normally,3.75,3.710000000000001,0.9499999999999993,gradual_monotonic_low_gamma,16.368835518576294,0.655177561377852,39.72793634628396
traj_00370,gradual_approach_v3,1.0,completed_normally,2.24,2.17,1.5000000000000002,gradual_monotonic_low_gamma,29.498728682040262,21.358387556184347,21.358387556184347
traj_00381,gradual_approach_v3,1.0,completed_normally,4.409999999999999,4.39,0.4900000000000002,gradual_monotonic_low_gamma,18.880438634515617,17.853484231632596,18.25668746838966
traj_00384,gradual_approach_v3,1.0,completed_normally,,,0.5800000000000001,gradual_monotonic_low_gamma,25.450370633720414,12.336595089611352,13.931199004737977
traj_00394,gradual_approach_v3,1.0,completed_normally,,,0.9300000000000002,gradual_monotonic_low_gamma,30.271432147801,4.881570427541129,4.881570427541129
traj_00395,gradual_approach_v3,1.0,completed_normally,,,1.0099999999999998,gradual_monotonic_low_gamma,27.565603545941425,8.611781635901233,8.611781635901233
traj_00398,gradual_approach_v3,1.0,completed_normally,4.890000000000001,4.87,0.6799999999999997,gradual_monotonic_low_gamma,24.321768524150986,15.477230428355735,22.144831930258572
traj_00412,gradual_approach_v3,1.0,completed_normally,,,1.3499999999999996,gradual_monotonic_low_gamma,26.994363639217465,12.679130134050105,12.679130134050105
traj_00413,gradual_approach_v3,1.0,completed_normally,4.44,4.430000000000001,0.4900000000000002,gradual_monotonic_low_gamma,28.007626553170343,23.867618804266655,28.308801211792485
traj_00415,gradual_approach_v3,1.0,completed_normally,,,0.5800000000000001,gradual_monotonic_low_gamma,27.70940312031637,12.083013144089414,14.987971177494735
