threshold,precision,recall,f1,false_positive_rate,warning_rate,tp,fp,fn,tn
0.1,0.34834840625542335,0.9543557504358392,0.5103972424704752,0.20601575263966446,0.2834367228704944,18065,33794,864,130242
0.15,0.4114332829462691,0.9490200221881768,0.5740122381812082,0.1566607330098271,0.23863580466209383,17964,25698,965,138338
0.2,0.4289879316525272,0.9483332452850124,0.590746042715635,0.14566314711404812,0.22870494356844207,17951,23894,978,140142
0.25,0.42292520491803276,0.8722594960114111,0.5696492953130121,0.13734180301884952,0.21337414259557838,16511,22529,2418,141507
0.3,0.4457167666133015,0.8677690316445665,0.5889354989064572,0.12452754273452168,0.20142103681031892,16426,20427,2503,143609
0.35,0.47556657223796034,0.8513920439537218,0.6102580608516197,0.10834207125265186,0.18521575164648976,16116,17772,2813,146264
0.4,0.472998945997892,0.8060647683448676,0.5961669955262078,0.10363578726620985,0.1763069439510289,15258,17000,3671,147036
0.45,0.48479342004590664,0.803370489724761,0.6046881523748932,0.09852105635348338,0.17144262563878337,15207,16161,3722,147875
0.5,0.4858077520404454,0.7766918484864493,0.597739469832493,0.0948633226852642,0.16540321919492798,14702,15561,4227,148475
0.55,0.4931834247820379,0.7739975698663426,0.602475532527346,0.09178473018117975,0.16236438663132294,14651,15056,4278,148980
0.6,0.4945282059969507,0.7710919752760315,0.6025926843365536,0.09094954766026969,0.16131500560216436,14596,14919,4333,149117
0.65,0.5184670518540189,0.7490094563896667,0.6127714748784441,0.08027506157185008,0.14946027928838848,14178,13168,4751,150868
0.7,0.5382067478046526,0.7382323419092398,0.6225469449580112,0.07309371113657978,0.1419069220889241,13974,11990,4955,152046
0.75,0.6347847600197922,0.6777431454382165,0.6555609494366234,0.04499622034187618,0.11045828437132785,12829,7381,6100,156655
0.8,0.874901168409031,0.5261239368165249,0.6570994985484296,0.008681021239240166,0.062214084661000736,9959,1424,8970,162612
0.85,0.9335376364681096,0.5149770193882403,0.6637840046304178,0.004230778609573508,0.057071024512884976,9748,694,9181,163342
0.9,0.9475265371520128,0.49986792751862225,0.6544699982707937,0.00319442073691141,0.05457874456863335,9462,524,9467,163512
