threshold,precision,recall,f1,false_positive_rate,warning_rate,tp,fp,fn,tn
0.1,0.6841614493139736,0.542659411485023,0.6052499779041334,0.028908288424492185,0.08205941026972371,10272,4742,8657,159294
0.15,0.8595942519019442,0.5372180252522585,0.6612048506128287,0.01012582603818674,0.06465717486951056,10169,1661,8760,162375
0.2,0.8813559322033898,0.5329388768556184,0.6642304526748971,0.008278670535736058,0.0625584128111934,10088,1358,8841,162678
0.25,0.9039120245177573,0.5297691373025516,0.668021183759118,0.006498573483869395,0.06063454759106933,10028,1066,8901,162970
0.3,0.9236400704290613,0.5265465687569338,0.6707267833109017,0.005023287571020996,0.05897849315442844,9967,824,8962,163212
0.35,0.9388936331720277,0.5227428812932537,0.671575946789738,0.003925967470555244,0.0576011805536578,9895,644,9034,163392
0.4,0.9525614853698843,0.517671298008347,0.6707968236582694,0.0029749567168182592,0.05622386795288716,9799,488,9130,163548
0.45,0.9637681159420289,0.5129166886787468,0.6695169465227735,0.002225121314833329,0.05505971087366436,9709,365,9220,163671
0.5,0.9750177719102264,0.5072111574832268,0.6672921879343898,0.0014996708039698603,0.05381903642773208,9601,246,9328,163790
0.55,0.98372044794691,0.5011886523324001,0.6640534770587617,0.0009571069765173498,0.05270953461044462,9487,157,9442,163879
0.6,0.9914321980114237,0.49516614718157326,0.6604657717647888,0.0004937940452095881,0.051671084633673106,9373,81,9556,163955
0.65,0.9976293103448276,0.48909081303819535,0.6563862597043497,0.00013411690116803629,0.050720083075998144,9258,22,9671,164014
0.7,0.9995607291895453,0.4808494902002219,0.6493311931514179,2.4384891121461143e-05,0.049769081518323176,9102,4,9827,164032
0.75,1.0,0.4703365206825506,0.639767174475424,0.0,0.04865957970103572,8903,0,10026,164036
0.8,1.0,0.4572877595224259,0.6275874569512416,0.0,0.04730959473123275,8656,0,10273,164036
0.85,1.0,0.4469861059749591,0.6178167214311793,0.0,0.04624381712349356,8461,0,10468,164036
0.9,1.0,0.4337260288446299,0.6050333468440252,0.0,0.04487197004891646,8210,0,10719,164036
