bucket,n_positive_rows,recall,n_warned,n_missed,airspeed_bin_m_s
0-0.5s,1724,0.9808584686774942,1691,33,30-40
0.5-1s,198,0.18181818181818182,36,162,30-40
1-2s,291,0.3436426116838488,100,191,30-40
2-3s,56,1.0,56,0,30-40
3-4s,0,,0,0,30-40
4-5s,11,0.0,0,11,30-40
0-0.5s,2492,0.9971910112359551,2485,7,40-50
0.5-1s,300,0.2633333333333333,79,221,40-50
1-2s,599,0.15859766277128548,95,504,40-50
2-3s,412,0.24271844660194175,100,312,40-50
3-4s,208,0.03365384615384615,7,201,40-50
4-5s,207,0.0,0,207,40-50
0-0.5s,873,0.9725085910652921,849,24,50-60
0.5-1s,100,0.0,0,100,50-60
1-2s,112,0.0,0,112,50-60
2-3s,33,0.0,0,33,50-60
3-4s,0,,0,0,50-60
4-5s,86,0.0,0,86,50-60
0-0.5s,475,1.0,475,0,60-75
0.5-1s,50,0.02,1,49,60-75
1-2s,100,0.0,0,100,60-75
2-3s,100,0.0,0,100,60-75
3-4s,93,0.0,0,93,60-75
4-5s,0,,0,0,60-75
