bucket,n_positive_rows,recall,n_warned,n_missed,regime
0-0.5s,361,0.9889196675900277,357,4,near_boundary
0.5-1s,100,0.7,70,30,near_boundary
1-2s,200,0.975,195,5,near_boundary
2-3s,156,1.0,156,0,near_boundary
3-4s,7,1.0,7,0,near_boundary
4-5s,0,,0,0,near_boundary
0-0.5s,0,,0,0,normal
0.5-1s,0,,0,0,normal
1-2s,0,,0,0,normal
2-3s,0,,0,0,normal
3-4s,0,,0,0,normal
4-5s,0,,0,0,normal
0-0.5s,5203,0.9884681914280223,5143,60,stall
0.5-1s,548,0.08394160583941605,46,502,stall
1-2s,902,0.0,0,902,stall
2-3s,445,0.0,0,445,stall
3-4s,294,0.0,0,294,stall
4-5s,304,0.0,0,304,stall
