model,n_features,pr_auc,roc_auc,precision,recall,f1,event_recall,median_lead_time_s,recall_0-0.5s,recall_0.5-1s,recall_1-2s,recall_2-3s,recall_3-4s,recall_4-5s
A_frozen_baseline,12,0.93285148480315,0.9781528984552821,0.9554502369668246,0.8811188811188811,0.9167803547066848,0.6923076923076923,0.5699999999999994,0.9995958779551425,0.3654618473895582,0.006688963210702341,0.0,0.0,0.0
B_state_derivatives,13,0.9331639238224942,0.9813706262591637,0.9291497975708503,0.8826923076923077,0.9053254437869822,0.6923076923076923,0.5799999999999992,0.997373206708426,0.42971887550200805,0.020066889632107024,0.0,0.0,0.0
C_0.5s,18,0.9308159577519682,0.9826605952415253,0.8643190056965303,0.8753496503496504,0.869799357248328,0.6923076923076923,0.5499999999999998,0.995554657506567,0.30120481927710846,0.016722408026755852,0.0,0.0,0.0
D_0.5s,23,0.932687153473603,0.9824747684628499,0.8909251101321586,0.8839160839160839,0.8874067573497147,0.6923076923076923,0.5799999999999992,0.9995958779551425,0.40963855421686746,0.023411371237458192,0.0,0.0,0.0
C_1s,18,0.9293885423817511,0.9791955402112111,0.8272095332671301,0.8737762237762238,0.8498554667573542,0.6923076923076923,0.56,0.9925237421701354,0.3172690763052209,0.023411371237458192,0.0,0.0,0.0
D_1s,23,0.9338406340802714,0.9822430065275122,0.8205169891074622,0.8823426573426574,0.8503074719905652,0.6923076923076923,0.5699999999999994,0.997373206708426,0.41767068273092367,0.023411371237458192,0.0,0.0,0.0
C_2s,18,0.9298494014833478,0.9847889927661115,0.8982316853121617,0.8702797202797202,0.8840348073166401,0.6923076923076923,0.5300000000000002,0.9915134370579916,0.26104417670682734,0.020066889632107024,0.0,0.0,0.0
D_2s,23,0.9328658761354394,0.9790029655943429,0.8662190082644629,0.8795454545454545,0.8728313671061763,0.6923076923076923,0.56,0.9965649626187109,0.36947791164658633,0.023411371237458192,0.0,0.0,0.0
C_3s,18,0.9304583278414479,0.9812715597625838,0.8152315720808871,0.8739510489510489,0.843570705366183,0.6923076923076923,0.56,0.993736108304708,0.30522088353413657,0.016722408026755852,0.0,0.0,0.0
D_3s,23,0.9318418807790884,0.9793974290130116,0.8344953519256308,0.8788461538461538,0.8560967302452316,0.6923076923076923,0.5600000000000005,0.9949484744392807,0.3855421686746988,0.023411371237458192,0.0,0.0,0.0
