bucket,n_positive_rows,recall,n_warned,n_missed,regime
0-0.5s,0,,0,0,normal
0.5-1s,0,,0,0,normal
1-2s,0,,0,0,normal
2-3s,0,,0,0,normal
3-4s,0,,0,0,normal
4-5s,0,,0,0,normal
0-0.5s,10848,0.9598082595870207,10412,436,gradual_approach_v3
0.5-1s,2699,0.861430159318266,2325,374,gradual_approach_v3
1-2s,5058,0.8301700276789244,4199,859,gradual_approach_v3
2-3s,4122,0.6572052401746725,2709,1413,gradual_approach_v3
3-4s,3729,0.6427996781979083,2397,1332,gradual_approach_v3
4-5s,3540,0.5980225988700565,2117,1423,gradual_approach_v3
0-0.5s,9699,0.9851531085678936,9555,144,stall
0.5-1s,1026,0.26120857699805067,268,758,stall
1-2s,1732,0.0,0,1732,stall
2-3s,1499,0.0,0,1499,stall
3-4s,1380,0.0,0,1380,stall
4-5s,832,0.0,0,832,stall
