trajectory_id,split
altF_trainval_00000,train
altF_trainval_00001,train
altF_trainval_00002,train
altF_trainval_00003,train
altF_trainval_00004,val
altF_trainval_00005,train
altF_trainval_00006,train
altF_trainval_00007,train
altF_trainval_00008,val
altF_trainval_00009,train
altF_trainval_00010,train
altF_trainval_00011,train
altF_trainval_00012,train
altF_trainval_00013,train
altF_trainval_00014,train
altF_trainval_00015,train
altF_trainval_00016,train
altF_trainval_00017,train
altF_trainval_00018,train
altF_trainval_00019,train
altF_trainval_00020,train
altF_trainval_00021,train
altF_trainval_00022,train
altF_trainval_00023,train
altF_trainval_00024,val
altF_trainval_00025,train
altF_trainval_00026,train
altF_trainval_00027,train
altF_trainval_00028,train
altF_trainval_00029,train
altF_trainval_00030,train
altF_trainval_00031,train
altF_trainval_00032,train
altF_trainval_00033,val
altF_trainval_00034,train
altF_trainval_00035,train
altF_trainval_00036,train
altF_trainval_00037,train
altF_trainval_00038,train
altF_trainval_00039,train
altF_trainval_00040,train
altF_trainval_00041,train
altF_trainval_00042,train
altF_trainval_00043,train
altF_trainval_00044,train
altF_trainval_00045,train
altF_trainval_00046,train
altF_trainval_00047,train
altF_trainval_00048,train
altF_trainval_00049,val
altF_trainval_00050,train
altF_trainval_00051,val
altF_trainval_00052,train
altF_trainval_00053,train
altF_trainval_00054,train
altF_trainval_00055,train
altF_trainval_00056,val
altF_trainval_00057,train
altF_trainval_00058,train
altF_trainval_00059,train
altF_trainval_00060,train
altF_trainval_00061,train
altF_trainval_00062,train
altF_trainval_00063,train
altF_trainval_00064,val
altF_trainval_00065,val
altF_trainval_00066,train
altF_trainval_00067,train
altF_trainval_00068,train
altF_trainval_00069,train
altF_trainval_00070,train
altF_trainval_00071,train
altF_trainval_00072,val
altF_trainval_00073,val
altF_trainval_00074,train
altF_trainval_00075,train
altF_trainval_00076,train
altF_trainval_00077,train
altF_trainval_00078,val
altF_trainval_00079,val
altF_trainval_00080,train
altF_trainval_00081,train
altF_trainval_00082,val
altF_trainval_00083,train
altF_trainval_00084,train
altF_trainval_00085,train
altF_trainval_00086,train
altF_trainval_00087,train
altF_trainval_00088,train
altF_trainval_00089,train
altF_trainval_00090,val
altF_trainval_00091,train
altF_trainval_00092,train
altF_trainval_00093,train
altF_trainval_00094,val
altF_trainval_00095,train
altF_trainval_00096,train
altF_trainval_00097,train
altF_trainval_00098,train
altF_trainval_00099,train
altF_trainval_00100,val
altF_trainval_00101,train
altF_trainval_00102,val
altF_trainval_00103,train
altF_trainval_00104,train
altF_trainval_00105,train
altF_trainval_00106,train
altF_trainval_00107,train
altF_trainval_00108,train
altF_trainval_00109,train
altF_trainval_00110,train
altF_trainval_00111,train
altF_trainval_00112,train
altF_trainval_00113,train
altF_trainval_00114,train
altF_trainval_00115,val
altF_trainval_00116,val
altF_trainval_00117,train
altF_trainval_00118,val
altF_trainval_00119,train
altF_trainval_00120,train
altF_trainval_00121,train
altF_trainval_00122,train
altF_trainval_00123,train
altF_trainval_00124,train
altF_trainval_00125,train
altF_trainval_00126,train
altF_trainval_00127,train
altF_trainval_00128,val
altF_trainval_00129,train
altF_trainval_00130,train
altF_trainval_00131,val
altF_trainval_00132,val
altF_trainval_00133,train
altF_trainval_00134,train
altF_trainval_00135,train
altF_trainval_00136,train
altF_trainval_00137,val
altF_trainval_00138,val
altF_trainval_00139,train
altF_trainval_00140,train
altF_trainval_00141,train
altF_trainval_00142,train
altF_trainval_00143,train
altF_trainval_00144,train
altF_trainval_00145,train
altF_trainval_00146,train
altF_trainval_00147,train
altF_trainval_00148,train
altF_trainval_00149,train
altF_trainval_00150,train
altF_trainval_00151,train
altF_trainval_00152,train
altF_trainval_00153,train
altF_trainval_00154,train
altF_trainval_00155,val
altF_trainval_00156,train
altF_trainval_00157,train
altF_trainval_00158,val
altF_trainval_00159,train
altF_trainval_00160,train
altF_trainval_00161,train
altF_trainval_00162,val
altF_trainval_00163,train
altF_trainval_00164,train
altF_trainval_00165,val
altF_trainval_00166,val
altF_trainval_00167,train
altF_trainval_00168,train
