trajectory_id,regime,termination_reason,t_cross,time_alpha8_to_cross_s,time_alpha12_to_cross_s,t_elev_peak_minus_t_cross_s,elevator_peak_rad,elevator_hold_ge80pct_after_cross_s,duration_actual_s
traj_0002,stall,validity_envelope_gamma_exceeded,3.73,0.25,0.1299999999999999,-0.20999999999999996,0.2814787542036564,4.51,11.26
traj_0004,stall,validity_envelope_gamma_exceeded,1.94,0.32999999999999985,0.19999999999999996,-0.4099999999999999,0.2877326067474379,2.07,4.86
traj_0013,stall,completed_normally,5.94,0.3200000000000003,0.16000000000000014,-0.28000000000000025,0.23394551812004416,2.63,20.0
traj_0015,near_boundary,completed_normally,3.0300000000000002,0.5500000000000003,0.33000000000000007,-0.4200000000000004,0.19498624781088988,0.38,20.0
traj_0016,stall,completed_normally,6.67,0.27999999999999936,0.16000000000000014,-0.3199999999999994,0.3026387416965081,2.65,20.0
traj_0017,stall,completed_normally,3.33,0.2599999999999998,0.1499999999999999,-0.3799999999999999,0.2830662848983366,4.09,20.0
traj_0021,near_boundary,completed_normally,3.56,0.6200000000000001,0.23999999999999977,0.010000000000000231,0.20286235935274613,0.36,20.0
traj_0027,stall,validity_envelope_gamma_exceeded,5.3,0.8499999999999996,0.6600000000000001,-1.0299999999999994,0.24917543341610157,0.1,5.39
traj_0029,stall,validity_envelope_gamma_exceeded,6.67,0.3700000000000001,0.14999999999999947,0.009999999999999787,0.2746784810955633,3.19,13.43
traj_0031,stall,validity_envelope_gamma_exceeded,6.26,0.35999999999999943,0.22999999999999954,-0.46999999999999975,0.2950914703494169,0.8,7.05
traj_0054,stall,validity_envelope_gamma_exceeded,3.49,0.41999999999999993,0.26000000000000023,-0.40000000000000036,0.28161905713097957,0.59,4.07
traj_0057,stall,validity_envelope_gamma_exceeded,5.57,0.3100000000000005,0.16999999999999993,-0.1200000000000001,0.31064349338493225,6.26,14.0
traj_0080,stall,completed_normally,2.7800000000000002,0.3200000000000003,0.17000000000000037,-0.3600000000000003,0.22359318770426168,9.47,20.0
traj_0083,stall,validity_envelope_gamma_exceeded,2.9,0.2999999999999998,0.1499999999999999,-0.29000000000000004,0.23895099545720738,3.49,7.33
traj_0091,near_boundary,completed_normally,3.17,0.48,0.22999999999999998,-0.04999999999999982,0.207769041538824,0.62,20.0
traj_0098,near_boundary,completed_normally,6.140000000000001,,0.27000000000000046,0.2599999999999998,0.2525742897348728,0.72,20.0
traj_0100,near_boundary,completed_normally,3.79,0.54,0.2799999999999998,-0.21999999999999975,0.18191392469052747,0.3,20.0
traj_0102,stall,validity_envelope_gamma_exceeded,4.49,0.2400000000000002,0.11000000000000032,-0.16999999999999993,0.3268476498734619,3.22,10.94
traj_0113,stall,completed_normally,2.67,0.2799999999999998,0.1299999999999999,0.050000000000000266,0.33295118975827515,3.4,20.0
traj_0123,stall,completed_normally,4.05,0.34999999999999964,0.17999999999999972,-0.04999999999999982,0.28934405388421397,4.7700000000000005,20.0
traj_0126,stall,completed_normally,4.55,0.25,0.1299999999999999,-0.14999999999999947,0.3048514280887518,4.71,20.0
traj_0137,near_boundary,completed_normally,5.8,,0.1899999999999995,-0.040000000000000036,0.2518306587156702,0.67,20.0
traj_0143,stall,validity_envelope_gamma_exceeded,3.79,0.31000000000000005,0.1499999999999999,-0.22999999999999998,0.24439837668224532,4.62,10.03
traj_0145,stall,completed_normally,1.85,0.3400000000000001,0.16000000000000014,0.040000000000000036,0.28675308125228,3.52,20.0
traj_0158,stall,validity_envelope_gamma_exceeded,3.7800000000000002,0.33000000000000007,0.1900000000000004,-0.2200000000000002,0.29409403631769154,6.54,11.97
traj_0159,stall,completed_normally,6.7,0.2999999999999998,0.15000000000000036,-0.07000000000000028,0.29242734463633435,2.77,20.0
traj_0160,stall,validity_envelope_gamma_exceeded,6.13,,0.20999999999999996,0.16999999999999993,0.2804734056165875,3.85,12.62
traj_0172,stall,validity_envelope_gamma_exceeded,3.4,,0.10999999999999988,-0.1599999999999997,0.3194479662222062,4.19,10.75
traj_0174,stall,completed_normally,5.19,,0.15000000000000036,-0.1200000000000001,0.27570269068723496,4.28,20.0
traj_0178,stall,validity_envelope_gamma_exceeded,5.22,0.3699999999999992,0.14999999999999947,0.0600000000000005,0.30765718218070137,4.15,11.33
traj_0183,stall,validity_envelope_gamma_exceeded,6.47,0.54,0.3699999999999992,-0.6599999999999993,0.24068162495101642,0.58,7.04
traj_0187,stall,completed_normally,1.67,0.42999999999999994,0.1499999999999999,0.25,0.35797592737660155,5.08,20.0
traj_0215,stall,validity_envelope_gamma_exceeded,2.81,0.43999999999999995,0.2599999999999998,-0.22999999999999998,0.2771535277921911,0.73,3.53
traj_0216,stall,validity_envelope_gamma_exceeded,6.93,0.3899999999999997,0.22999999999999954,-0.3299999999999992,0.2710107343882828,6.01,15.4
traj_0223,stall,completed_normally,4.93,0.25,0.13999999999999968,-0.20999999999999996,0.32595838386723774,3.41,20.0
traj_0224,stall,validity_envelope_gamma_exceeded,6.26,0.33000000000000007,0.15999999999999925,0.0,0.2752710450858649,4.37,12.66
traj_0225,stall,completed_normally,4.73,0.5600000000000005,0.33000000000000007,-0.35000000000000053,0.20960443723370503,3.3000000000000003,20.0
traj_0237,stall,validity_envelope_gamma_exceeded,2.12,0.28,0.15000000000000013,-0.30000000000000004,0.27282948460178275,4.33,9.65
traj_0243,near_boundary,completed_normally,3.59,0.6699999999999999,0.4299999999999997,-0.5799999999999996,0.1660317245971496,0.12,20.0
traj_0247,stall,validity_envelope_gamma_exceeded,2.0,0.31000000000000005,0.17999999999999994,-0.27,0.30786498144361285,6.67,11.22
traj_0249,stall,completed_normally,5.97,0.2699999999999996,0.13999999999999968,-0.14999999999999947,0.2838217790699857,4.67,20.0
traj_0250,stall,validity_envelope_gamma_exceeded,1.9000000000000001,0.3600000000000001,0.2200000000000002,-0.3700000000000001,0.291327851048764,1.08,2.97
traj_0258,near_boundary,completed_normally,18.01,5.890000000000001,2.1900000000000013,-15.040000000000001,0.13984670079887973,0.0,20.0
