trajectory_id,generation_mode,random_seed,initial_airspeed,initial_altitude,initial_alpha,trim_throttle,trim_elevator,maximum_alpha,minimum_alpha,minimum_airspeed,maximum_airspeed,maximum_abs_gamma,whether_stall_occurred,time_of_first_stall,whether_validity_envelope_was_exceeded,termination_reason,n_steps,duration_actual_s,n_sanity_issues,sanity_issues,candidate
traj_0000,near_boundary,20260818,42.10799763847712,1270.1833997142385,0.08310215080435748,0.32529835613786845,0.025969422126361715,0.08310215080441705,-0.17050219245385445,42.10799763847712,49.86946923494722,0.7889089026325975,False,,True,validity_envelope_gamma_exceeded,675,6.74,0,,v03_a_gentle_long_rise
traj_0001,near_boundary,20260818,46.33461303113038,1897.6705373297223,0.06263620802426326,0.34161329721018485,0.01957381500758227,0.3434477862056008,0.06263620802426326,33.91325769516092,46.334613031134765,0.7855265316284635,True,7.18,True,validity_envelope_gamma_exceeded,786,7.8500000000000005,0,,v03_a_gentle_long_rise
traj_0002,near_boundary,20260818,33.37902180683451,1992.9716333121999,0.1501743693466848,0.33500609620163946,0.04692949042083899,0.1501743693466848,-0.12402029815563775,33.379021806831624,44.62395350247418,0.7888219655369603,False,,True,validity_envelope_gamma_exceeded,727,7.26,0,,v03_a_gentle_long_rise
traj_0003,near_boundary,20260818,51.55499035060023,1196.064318685449,0.043775247226895825,0.37466498032115936,0.013679764758404945,0.04377524722696468,-0.14636738904592916,51.55499035060023,59.94805753628004,0.7854284062079874,False,,True,validity_envelope_gamma_exceeded,948,9.47,0,,v03_a_gentle_long_rise
traj_0004,near_boundary,20260818,41.082435116181784,585.7520182781246,0.08899383641086658,0.32303944586653316,0.02781057387839581,0.09056426135367228,0.08735330056437174,40.59760987507979,41.585176443402126,0.012484960080292705,False,,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0005,near_boundary,20260818,37.612525507035166,1274.3376843610467,0.11235824920050136,0.32135466381488714,0.03511195287515668,0.11235824920063069,-0.17081382032682957,37.612525507035166,46.641967460408544,0.7869175168238178,False,,True,validity_envelope_gamma_exceeded,807,8.06,0,,v03_a_gentle_long_rise
traj_0006,near_boundary,20260818,31.422347712600217,1197.5752380852143,0.17231649926714857,0.34906408256091453,0.053848906020983925,0.8723568096221126,0.0938893512845789,26.817918425035835,51.55419383200477,0.5948273661191473,True,3.43,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0007,near_boundary,20260818,44.38665379590971,1341.458855771645,0.07137419191675987,0.3327841312074001,0.022304434973987458,0.07173463455376189,-0.1877837186057778,44.19446902750134,50.93806020437568,0.7869595089362053,False,,True,validity_envelope_gamma_exceeded,741,7.4,0,,v03_a_gentle_long_rise
traj_0008,near_boundary,20260818,46.07137025596563,1914.882110730512,0.06375495159980796,0.34029869798564333,0.019923422374939985,0.06375495159982533,-0.18597171560973014,46.07137025596563,53.096762981774624,0.7886015404058984,False,,True,validity_envelope_gamma_exceeded,766,7.65,0,,v03_a_gentle_long_rise
traj_0009,near_boundary,20260818,53.537217610374135,577.1751606043305,0.03798452543907929,0.39034419690609906,0.011870164199712279,0.2939415201648805,0.037984525438929925,43.32429551608794,53.537217610374135,0.7856983253400229,True,9.09,True,validity_envelope_gamma_exceeded,921,9.200000000000001,0,,v03_a_gentle_long_rise
traj_0010,near_boundary,20260818,37.47685723907407,1159.9389285270952,0.11339461681990215,0.3214980071793057,0.03543581775621942,0.7297992470784814,0.08461565529777135,29.054368047264255,46.35909066452129,0.33087032746562073,True,4.7700000000000005,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0011,near_boundary,20260818,34.55322081169312,1409.82720368956,0.1384470677908237,0.32914857306152223,0.043264708684632405,0.7297839287751402,0.09816227314658377,27.57154371154703,45.38263594748395,0.3913702194094362,True,4.09,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0012,near_boundary,20260818,57.083255065088515,1503.6939535910417,0.02906429443554064,0.42215485359906924,0.00908259201110645,0.029179003202021964,-0.17289859992391365,56.89496962246879,63.745410043841645,0.7858916559126811,False,,True,validity_envelope_gamma_exceeded,592,5.91,0,,v03_a_gentle_long_rise
traj_0013,near_boundary,20260818,41.97999076258957,1800.9554524200735,0.08381530798666581,0.3249768316033018,0.026192283745833066,0.08381530798666581,-0.1353376609622634,41.97999076257385,51.467484359408346,0.7865252707932276,False,,True,validity_envelope_gamma_exceeded,835,8.34,0,,v03_a_gentle_long_rise
traj_0014,near_boundary,20260818,71.64841280233287,1699.3493637553017,0.005115503503469887,0.5955853551009783,0.0015985948448343397,0.005115503503591293,-0.16003423817825846,71.64841280233287,77.96086179118045,0.7904033150125427,False,,True,validity_envelope_gamma_exceeded,642,6.41,0,,v03_a_gentle_long_rise
traj_0015,near_boundary,20260818,65.75884834668554,1533.164214840512,0.012926611681247539,0.5178547134849539,0.004039566150389856,0.19391479281183266,0.012926611681247539,55.593480833926456,65.75884834668717,0.7867716363840573,False,,True,validity_envelope_gamma_exceeded,550,5.49,0,,v03_a_gentle_long_rise
traj_0016,near_boundary,20260818,55.63108077332023,1796.3695916720312,0.03251514845644257,0.4085692402955434,0.010160983892638304,0.03251514845652946,-0.19310879014157367,55.63108077332023,61.21125641092025,0.7875155412270497,False,,True,validity_envelope_gamma_exceeded,859,8.58,0,,v03_a_gentle_long_rise
traj_0017,near_boundary,20260818,43.50314689948166,1983.4576685467923,0.07571330221500291,0.3294977749503775,0.02366040694218841,0.7094502883197105,0.04897598797609087,22.896575149215295,54.757629034723365,0.5949696785800558,True,6.49,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0018,near_boundary,20260818,31.06733210586489,728.2301667018196,0.17673657066863027,0.35226335724414404,0.05523017833394696,0.9194749104369313,0.08944650142500887,27.320829037292985,53.18856348394196,0.6162029436790613,True,4.04,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0019,near_boundary,20260818,51.912883001262,920.8421929529582,0.04268152503434387,0.3773777106320411,0.01333797657323246,0.04268152503434387,-0.14736319572342604,51.912883001262,60.03112949962043,0.7868560160253628,False,,True,validity_envelope_gamma_exceeded,548,5.47,0,,v03_a_gentle_long_rise
traj_0020,near_boundary,20260818,40.344828297403716,1487.4218455830783,0.09349487057063763,0.32187949265800464,0.029217147053324257,0.8530087217711821,0.06703442020792963,29.36172069606708,50.20305365539031,0.4139348958643374,True,3.84,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0021,near_boundary,20260818,41.312898562732144,641.993800612395,0.08763374408508318,0.3234830135818805,0.027385545026588493,0.7144611520456483,0.06254170025660666,23.129267876281187,50.23406731089348,0.5545205948972837,True,8.17,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0022,near_boundary,20260818,48.23996413757711,1730.643441396309,0.055060191980970494,0.35218768828420516,0.017206309994053277,0.33609060224357257,0.05506019198086085,36.97488194377757,48.23996413757711,0.7876286335493612,True,8.24,True,validity_envelope_gamma_exceeded,884,8.83,0,,v03_a_gentle_long_rise
traj_0023,near_boundary,20260818,43.306691254082416,1216.2459286485519,0.07671277477413205,0.3288315069770677,0.023972742116916267,0.7131515349508537,0.041683777920961784,23.059735060074917,60.614468918689425,0.5944813571745858,True,3.94,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0024,near_boundary,20260818,49.770003534216784,1311.9476859931863,0.049578490370598846,0.3619502958086461,0.01549327824081214,0.3382017385938231,0.04957849037046619,38.71285040230876,49.770003534216784,0.7886050157214038,True,9.13,True,validity_envelope_gamma_exceeded,956,9.55,0,,v03_a_gentle_long_rise
traj_0025,near_boundary,20260818,58.08548222379357,1798.3550896255733,0.02682975352446269,0.4319634362092965,0.00838429797639459,0.2230869313306698,0.02682975352446269,47.68409292390573,58.085482223814225,0.7888423295356131,False,,True,validity_envelope_gamma_exceeded,907,9.06,0,,v03_a_gentle_long_rise
