trajectory_id,generation_mode,random_seed,initial_airspeed,initial_altitude,initial_alpha,trim_throttle,trim_elevator,maximum_alpha,minimum_alpha,minimum_airspeed,maximum_airspeed,maximum_abs_gamma,whether_stall_occurred,time_of_first_stall,whether_validity_envelope_was_exceeded,termination_reason,n_steps,duration_actual_s,n_sanity_issues,sanity_issues
traj_0000,gradual_A_tight_margin,20260817,32.43761179282346,728.3514352786094,0.1603878975055706,0.34105051089870664,0.05012121797049081,0.5561094898354766,0.13456829324948594,26.37969263864028,37.768756952314035,0.2319688093535247,True,4.53,False,completed_normally,2001,20.0,0,
traj_0001,gradual_C_high_margin,20260817,44.72429402040387,1524.2988649102147,0.069780669346861,0.33416195624189776,0.021806459170894063,0.38649182726572295,0.069780669346861,30.054032535492507,44.72429402042459,0.7866002969119648,True,7.38,True,validity_envelope_gamma_exceeded,886,8.85,0,
traj_0002,gradual_B_moderate_margin,20260817,35.10163891772325,814.4848408740876,0.13332098255163946,0.32699920761147777,0.04166280704738733,0.13332098255163946,-0.06764820544962102,35.101638917721544,49.38858090851812,0.7855615679025608,False,,True,validity_envelope_gamma_exceeded,755,7.54,0,
traj_0003,gradual_D_two_stage,20260817,36.28691780416249,1454.3935198837266,0.12293916893462212,0.3235196346176556,0.03841849029206942,0.23716585174542654,0.07389862785006637,23.522410990504643,51.90212472232389,0.4444299888869617,False,,False,completed_normally,2001,20.0,0,
traj_0004,gradual_D_two_stage,20260817,37.48706220857749,1142.1860593450021,0.11331630512653004,0.32148662483650986,0.035411345352040643,0.11331630512666414,-0.059225597176779776,37.48706220857749,64.66859507044276,0.7866490804494194,False,,True,validity_envelope_gamma_exceeded,1344,13.43,0,
traj_0005,gradual_D_two_stage,20260817,33.57161441906245,1042.9725333884553,0.14817694439879217,0.3339221452330131,0.04630529512462255,0.2074389330265451,0.03764986827325134,23.321229156914868,48.59884996758448,0.464619476915172,False,,False,completed_normally,2001,20.0,0,
traj_0006,gradual_D_two_stage,20260817,36.70698321860174,1084.4829878020253,0.11947409101128065,0.3226452752201177,0.0373356534410252,0.22281792748719947,-0.01092269437355059,21.877481877780834,51.950352831801155,0.46831477666001925,False,,False,completed_normally,2001,20.0,0,
traj_0007,gradual_B_moderate_margin,20260817,58.25058980478165,1053.5798272436182,0.02647248717858523,0.4336123977723776,0.008272652243307884,0.026472487178722186,-0.11197691393850084,58.25058980478165,67.77496717602354,0.7874576719898023,False,,True,validity_envelope_gamma_exceeded,820,8.19,0,
traj_0008,gradual_B_moderate_margin,20260817,31.950444566171974,1952.6531403046283,0.16598589766013544,0.3446923746962032,0.05187059301879233,0.16598589766013544,-0.08153590874813466,31.950444566164396,44.45389124974338,0.7875216377583694,False,,True,validity_envelope_gamma_exceeded,741,7.4,0,
traj_0009,gradual_A_tight_margin,20260817,59.07890992295973,1648.1718848319347,0.024724442814594867,0.44202388210699783,0.007726388379560896,0.024724442814594867,-0.07163527471339848,59.07890992295705,72.30134400476771,0.7861401759706473,False,,True,validity_envelope_gamma_exceeded,683,6.82,0,
traj_0010,gradual_E_slow_rise_slow_recovery,20260817,39.58591714587429,1083.7334088788537,0.09837332127870393,0.32111608519564033,0.030741662899594978,0.39625129319988295,0.048959773617890334,17.07104268548508,61.20521360561727,0.5885554571852433,True,4.43,False,completed_normally,2001,20.0,0,
traj_0011,gradual_B_moderate_margin,20260817,53.53380327669441,1971.6347739500973,0.03799396132438467,0.3903158426222316,0.01187311291387021,0.03799396132438467,-0.11645394894817995,53.533803276690925,63.00418041599658,0.7856207495367028,False,,True,validity_envelope_gamma_exceeded,959,9.58,0,
traj_0012,gradual_E_slow_rise_slow_recovery,20260817,36.19534348020798,651.4606354757304,0.12370895705459034,0.3237343828229729,0.03865904907955948,0.5578546114777362,0.10786339213646215,25.938629953661128,40.08831382596405,0.3239586429529389,True,8.51,False,completed_normally,2001,20.0,0,
traj_0013,gradual_D_two_stage,20260817,37.2078053324252,1002.6284291158455,0.11548043515800424,0.32183370406064554,0.03608763598687633,0.38352127826676996,-0.006881782827812655,14.901272363442862,54.07487837410589,0.745067899083904,True,18.240000000000002,False,completed_normally,2001,20.0,0,
traj_0014,gradual_C_high_margin,20260817,68.65877671609378,1670.3994232173798,0.008832080683649574,0.5549182579609316,0.0027600252136404917,0.008832080683649574,-0.1632107971081619,68.65877671609188,73.79430179759798,0.7871101407837535,False,,True,validity_envelope_gamma_exceeded,514,5.13,0,
traj_0015,gradual_B_moderate_margin,20260817,54.18606186513546,1153.613905190253,0.036223001790023204,0.39581439375668315,0.01131968805938225,0.21916769687366322,0.03622300178984886,43.03234517961375,54.18606186513546,0.788365722539157,False,,True,validity_envelope_gamma_exceeded,748,7.47,0,
traj_0016,gradual_A_tight_margin,20260817,33.84973728408178,1126.6591372574524,0.1453448680750173,0.33244407155541034,0.045420271273442905,0.47179153575731114,0.11721463463015436,24.693969857256246,40.4327678182531,0.27119428681730356,True,7.46,False,completed_normally,2001,20.0,0,
traj_0017,gradual_D_two_stage,20260817,70.25103502911809,1786.6541889973676,0.006794231151826399,0.5762729182478193,0.0021231972349457498,0.10692600942961772,0.006794231151826399,47.37013306779105,70.25103502912066,0.7857176726925362,False,,True,validity_envelope_gamma_exceeded,927,9.26,0,
traj_0018,gradual_D_two_stage,20260817,66.2276528393877,1862.2452164928695,0.01222847612496367,0.523683306900286,0.003821398789051147,0.07707828336890343,-0.07285154853501308,44.07798964529091,66.22765283939167,0.5127206208840145,False,,False,completed_normally,2001,20.0,0,
traj_0019,gradual_D_two_stage,20260817,70.21411205408171,1535.051295815671,0.006839938361596164,0.5757698220458839,0.002137480737998801,0.10036552466379012,-0.07308656139021069,46.4307950238251,75.88182984709793,0.6619246144609342,False,,False,completed_normally,2001,20.0,0,
traj_0020,gradual_A_tight_margin,20260817,72.5611529486088,1093.4459595203473,0.004070468450925146,0.6084838054246755,0.001272021390914108,0.09664048203382292,0.004070468450925146,58.47162188630674,72.56115294862214,0.7873446065377706,False,,True,validity_envelope_gamma_exceeded,973,9.72,0,
traj_0021,gradual_D_two_stage,20260817,68.02655812168244,525.0388572494438,0.009680763948657106,0.5466345867803872,0.0030252387339553457,0.009680763948657106,-0.057523750366999415,68.02655812168025,94.51434047729705,0.7866123523317179,False,,True,validity_envelope_gamma_exceeded,1203,12.02,0,
traj_0022,gradual_E_slow_rise_slow_recovery,20260817,39.80623675388975,1408.0619057442325,0.09693024774655992,0.3212914049435887,0.030290702420799974,0.0969302477465739,-0.1114606884488839,39.80623675388975,50.738018993243834,0.7866723026677837,False,,True,validity_envelope_gamma_exceeded,681,6.8,0,
traj_0023,gradual_E_slow_rise_slow_recovery,20260817,49.5332060661453,1896.7311238292407,0.050394644191066096,0.36036884156709,0.015748326309708155,0.2526771055879128,0.05039464419106165,37.88575026701817,49.5332060661453,0.7864446339150996,False,,True,validity_envelope_gamma_exceeded,904,9.03,0,
traj_0024,gradual_C_high_margin,20260817,48.7048488242517,816.4695322831271,0.05334140665045212,0.3550385002522419,0.016669189578266286,0.05334140665045212,-0.16652850134843433,48.704848824248565,55.35378435935914,0.7872389106766418,False,,True,validity_envelope_gamma_exceeded,568,5.67,0,
traj_0025,gradual_B_moderate_margin,20260817,58.03826475950614,1995.8941025713011,0.02693247701410364,0.4314935731779454,0.008416399066907389,0.18306044195793103,0.026932477013946625,46.28208041139097,58.03826475950614,0.7868503630892786,False,,True,validity_envelope_gamma_exceeded,906,9.05,0,
traj_0026,gradual_A_tight_margin,20260817,68.62153558268336,1228.636278460053,0.008881430319997382,0.5544272039640097,0.002775446974999182,0.008881430319997382,-0.10192465899613268,68.62153558265702,77.84928797938787,0.7860364484515165,False,,True,validity_envelope_gamma_exceeded,1013,10.120000000000001,0,
traj_0027,gradual_A_tight_margin,20260817,53.03922445032379,1367.8042471339631,0.03937970645443843,0.38625688619579424,0.01230615826701201,0.1656244841790402,0.03937970645443843,35.35026986685121,53.03922445034264,0.7856319008803313,False,,True,validity_envelope_gamma_exceeded,1165,11.64,0,
traj_0028,gradual_E_slow_rise_slow_recovery,20260817,50.3272624443429,892.5288402602275,0.04770194219778347,0.36577088588422757,0.014906856936807333,0.047701942197889355,-0.10482188394392611,50.3272624443429,60.884529166901174,0.7872564837710934,False,,True,validity_envelope_gamma_exceeded,855,8.540000000000001,0,
traj_0029,gradual_A_tight_margin,20260817,52.81010850792363,1722.6094873566738,0.04003462487218334,0.3844093200992207,0.012510820272557293,0.18506859826767685,0.04003462487218334,39.13542252782001,52.81010850792421,0.7867065319227704,False,,True,validity_envelope_gamma_exceeded,599,5.98,0,
traj_0030,gradual_E_slow_rise_slow_recovery,20260817,53.73721895554864,1054.8996459498126,0.03743487304891389,0.39201301525272203,0.01169839782778559,0.20297050880914425,0.03743487304891389,41.69298469751648,53.73721895554864,0.7862793360804564,False,,True,validity_envelope_gamma_exceeded,633,6.32,0,
traj_0031,gradual_B_moderate_margin,20260817,33.1404207627909,572.4010403367171,0.15269118687936642,0.3364191885211481,0.047715995899802,0.6390946764064597,0.13201037986047273,28.33942513761566,37.51038932753216,0.2160130120790095,True,7.3500000000000005,False,completed_normally,2001,20.0,0,
traj_0032,gradual_A_tight_margin,20260817,70.95461181571955,1169.8987691660188,0.005936721679105136,0.5859305467408367,0.001855225524720355,0.10697090123585573,0.005936721679066135,57.89876030793851,70.95461181571955,0.7879848654500015,False,,True,validity_envelope_gamma_exceeded,1038,10.370000000000001,0,
traj_0033,gradual_D_two_stage,20260817,74.09522857077752,1274.36790228236,0.002399465219134665,0.6306610406624732,0.0007498328809795829,0.13412888158511616,0.0023994652190128096,46.854936556657556,74.09522857077752,0.786101841249728,False,,True,validity_envelope_gamma_exceeded,1121,11.200000000000001,0,
traj_0034,gradual_C_high_margin,20260817,49.505038986430336,1461.7583836149558,0.050492485646291246,0.36018241530361145,0.015778901764466016,0.050492485646454525,-0.17389560945054183,49.505038986430336,55.59563284144357,0.7861820382242706,False,,True,validity_envelope_gamma_exceeded,601,6.0,0,
traj_0035,gradual_A_tight_margin,20260817,35.8270498351497,1702.979092809522,0.12685833061358284,0.3246875573123157,0.03964322831674464,0.44813549447646084,0.08311086285201436,21.480831431673778,49.24963549786418,0.3964465150188385,True,5.24,False,completed_normally,2001,20.0,0,
traj_0036,gradual_D_two_stage,20260817,72.68054827885835,1391.0279285052152,0.003936644191265708,0.6101874919844592,0.0012302013097705337,0.00393664419126763,-0.06683941497582868,72.68054827885835,100.3469675813074,0.7864344066718747,False,,True,validity_envelope_gamma_exceeded,1104,11.03,0,
traj_0037,gradual_B_moderate_margin,20260817,64.96859954832817,1671.4260478830192,0.014137424630647415,0.5081747891358375,0.0044179451970773175,0.17171289203083684,0.014137424630519316,54.25227585509243,64.96859954832817,0.7880590417834955,False,,True,validity_envelope_gamma_exceeded,991,9.9,0,
traj_0038,gradual_A_tight_margin,20260817,74.10824630235571,864.4586819409307,0.0023857239268540026,0.6308518813162798,0.0007455387271418758,0.002385723927007646,-0.10409561716583193,74.10824630235571,83.32598601613981,0.7883519153779178,False,,True,validity_envelope_gamma_exceeded,586,5.8500000000000005,0,
traj_0039,gradual_E_slow_rise_slow_recovery,20260817,70.39220966823001,900.6816282544233,0.0066201261473449804,0.5781999360135116,0.0020687894210453064,0.14596029158653623,0.0066201261473449804,59.43445636879324,70.3922096682342,0.7883442897421098,False,,True,validity_envelope_gamma_exceeded,989,9.88,0,
traj_0040,gradual_D_two_stage,20260817,37.73063146660026,1772.6374221291396,0.11146431674214938,0.3212438308960608,0.034832598981921675,0.23315493843264595,0.015608354376929534,23.345950726640048,55.70984101055563,0.569078289130631,False,,False,completed_normally,2001,20.0,0,
traj_0041,gradual_B_moderate_margin,20260817,72.03858129496055,1112.4471213744987,0.004663967717853106,0.6010717781340974,0.0014574899118290957,0.004663967718041676,-0.13272298522458736,72.03858129496055,78.61452223052872,0.7870127971974225,False,,True,validity_envelope_gamma_exceeded,574,5.73,0,
traj_0042,gradual_A_tight_margin,20260817,55.64084546687735,1054.9578875337113,0.03249105370868328,0.4086580597628975,0.010153454283963524,0.17384594431505818,0.0324910537085498,42.28507316050862,55.64084546687735,0.7872388130652984,False,,True,validity_envelope_gamma_exceeded,594,5.93,0,
traj_0043,gradual_B_moderate_margin,20260817,48.73246125176158,1412.994706170522,0.05324081864542782,0.3552110469450983,0.01663775582669619,0.05324081864542782,-0.12176500978431348,48.732461251758735,57.650289913105254,0.7882012301542398,False,,True,validity_envelope_gamma_exceeded,587,5.86,0,
